location,date,vaccine,total_vaccinations
Germany,3/30/2021,Oxford/AstraZeneca,2955991
Germany,3/30/2021,Pfizer/BioNTech,10159069
Germany,3/31/2021,Johnson&Johnson,27
Germany,3/31/2021,Moderna,733175
Germany,3/31/2021,Oxford/AstraZeneca,3008690
Germany,3/31/2021,Pfizer/BioNTech,10406554
Germany,4/1/2021,Johnson&Johnson,27
Germany,4/1/2021,Moderna,765622
Germany,4/1/2021,Oxford/AstraZeneca,3064012
Germany,4/1/2021,Pfizer/BioNTech,10645478
Germany,4/2/2021,Johnson&Johnson,27
Germany,4/2/2021,Moderna,780006
Germany,4/2/2021,Oxford/AstraZeneca,3095813
Germany,4/2/2021,Pfizer/BioNTech,10825008
Germany,4/3/2021,Johnson&Johnson,27
Germany,4/3/2021,Moderna,795800
Germany,4/3/2021,Oxford/AstraZeneca,3137744
Germany,4/3/2021,Pfizer/BioNTech,10999219
Germany,4/4/2021,Johnson&Johnson,27
Germany,4/4/2021,Moderna,805862
Germany,4/4/2021,Oxford/AstraZeneca,3188428
Germany,4/4/2021,Pfizer/BioNTech,11131422
Germany,4/5/2021,Johnson&Johnson,27
Germany,4/5/2021,Moderna,823722
Germany,4/5/2021,Oxford/AstraZeneca,3253430
Germany,4/5/2021,Pfizer/BioNTech,11296432
Germany,4/6/2021,Johnson&Johnson,29
Germany,4/6/2021,Moderna,855909
Germany,4/6/2021,Oxford/AstraZeneca,3340036
Germany,4/6/2021,Pfizer/BioNTech,11551389
Germany,4/7/2021,Johnson&Johnson,29
Germany,4/7/2021,Moderna,892950
Germany,4/7/2021,Oxford/AstraZeneca,3428801
Germany,4/7/2021,Pfizer/BioNTech,12093588
Germany,4/8/2021,Johnson&Johnson,29
Germany,4/8/2021,Moderna,928583
Germany,4/8/2021,Oxford/AstraZeneca,3520511
Germany,4/8/2021,Pfizer/BioNTech,12665077
Germany,4/9/2021,Johnson&Johnson,29
Germany,4/9/2021,Moderna,965175
Germany,4/9/2021,Oxford/AstraZeneca,3625650
Germany,4/9/2021,Pfizer/BioNTech,13155476
Germany,4/10/2021,Johnson&Johnson,29
Germany,4/10/2021,Moderna,988398
Germany,4/10/2021,Oxford/AstraZeneca,3726521
Germany,4/10/2021,Pfizer/BioNTech,13403908
Germany,4/11/2021,Johnson&Johnson,29
Germany,4/11/2021,Moderna,1007064
Germany,4/11/2021,Oxford/AstraZeneca,3801402
Germany,4/11/2021,Pfizer/BioNTech,13574270
Germany,4/12/2021,Johnson&Johnson,30
Germany,4/12/2021,Moderna,1036296
Germany,4/12/2021,Oxford/AstraZeneca,3911863
Germany,4/12/2021,Pfizer/BioNTech,13853143
Germany,4/13/2021,Johnson&Johnson,30
Germany,4/13/2021,Moderna,1063620
Germany,4/13/2021,Oxford/AstraZeneca,4029209
Germany,4/13/2021,Pfizer/BioNTech,14285274
Germany,4/14/2021,Johnson&Johnson,30
Germany,4/14/2021,Moderna,1097165
Germany,4/14/2021,Oxford/AstraZeneca,4154179
Germany,4/14/2021,Pfizer/BioNTech,14901565
Germany,4/15/2021,Johnson&Johnson,31
Germany,4/15/2021,Moderna,1133259
Germany,4/15/2021,Oxford/AstraZeneca,4264189
Germany,4/15/2021,Pfizer/BioNTech,15435627
Germany,4/16/2021,Johnson&Johnson,31
Germany,4/16/2021,Moderna,1165738
Germany,4/16/2021,Oxford/AstraZeneca,4390027
Germany,4/16/2021,Pfizer/BioNTech,15873798
Germany,4/17/2021,Johnson&Johnson,31
Germany,4/17/2021,Moderna,1188423
Germany,4/17/2021,Oxford/AstraZeneca,4508493
Germany,4/17/2021,Pfizer/BioNTech,16098675
Germany,4/18/2021,Johnson&Johnson,31
Germany,4/18/2021,Moderna,1203812
Germany,4/18/2021,Oxford/AstraZeneca,4590585
Germany,4/18/2021,Pfizer/BioNTech,16270733
Germany,4/19/2021,Johnson&Johnson,32
Germany,4/19/2021,Moderna,1236746
Germany,4/19/2021,Oxford/AstraZeneca,4666107
Germany,4/19/2021,Pfizer/BioNTech,16564481
Germany,4/20/2021,Johnson&Johnson,33
Germany,4/20/2021,Moderna,1275991
Germany,4/20/2021,Oxford/AstraZeneca,4805700
Germany,4/20/2021,Pfizer/BioNTech,16946363
Germany,4/21/2021,Johnson&Johnson,33
Germany,4/21/2021,Moderna,1317704
Germany,4/21/2021,Oxford/AstraZeneca,5030779
Germany,4/21/2021,Pfizer/BioNTech,17400671
Germany,4/22/2021,Johnson&Johnson,33
Germany,4/22/2021,Moderna,1361380
Germany,4/22/2021,Oxford/AstraZeneca,5243940
Germany,4/22/2021,Pfizer/BioNTech,17782456
Germany,4/23/2021,Johnson&Johnson,33
Germany,4/23/2021,Moderna,1404970
Germany,4/23/2021,Oxford/AstraZeneca,5403462
Germany,4/23/2021,Pfizer/BioNTech,18135745
Germany,4/24/2021,Johnson&Johnson,33
Germany,4/24/2021,Moderna,1454304
Germany,4/24/2021,Oxford/AstraZeneca,5484735
Germany,4/24/2021,Pfizer/BioNTech,18370722
Germany,4/25/2021,Johnson&Johnson,33
Germany,4/25/2021,Moderna,1487976
Germany,4/25/2021,Oxford/AstraZeneca,5546256
Germany,4/25/2021,Pfizer/BioNTech,18558506
Germany,4/26/2021,Johnson&Johnson,103
Germany,4/26/2021,Moderna,1530475
Germany,4/26/2021,Oxford/AstraZeneca,5618847
Germany,4/26/2021,Pfizer/BioNTech,18876331
Germany,4/27/2021,Johnson&Johnson,656
Germany,4/27/2021,Moderna,1581976
Germany,4/27/2021,Oxford/AstraZeneca,5675525
Germany,4/27/2021,Pfizer/BioNTech,19552961
Germany,4/28/2021,Johnson&Johnson,1488
Germany,4/28/2021,Moderna,1642701
Germany,4/28/2021,Oxford/AstraZeneca,5729045
Germany,4/28/2021,Pfizer/BioNTech,20561113
Germany,4/29/2021,Johnson&Johnson,2397
Germany,4/29/2021,Moderna,1706625
Germany,4/29/2021,Oxford/AstraZeneca,5786192
Germany,4/29/2021,Pfizer/BioNTech,21385424
Germany,4/30/2021,Johnson&Johnson,3272
Germany,4/30/2021,Moderna,1763913
Germany,4/30/2021,Oxford/AstraZeneca,5853482
Germany,4/30/2021,Pfizer/BioNTech,22063724
Germany,5/1/2021,Johnson&Johnson,5846
Germany,5/1/2021,Moderna,1805403
Germany,5/1/2021,Oxford/AstraZeneca,5892871
Germany,5/1/2021,Pfizer/BioNTech,22316560
Germany,5/2/2021,Johnson&Johnson,7653
Germany,5/2/2021,Moderna,1842915
Germany,5/2/2021,Oxford/AstraZeneca,5922973
Germany,5/2/2021,Pfizer/BioNTech,22512132
Germany,5/3/2021,Johnson&Johnson,9239
Germany,5/3/2021,Moderna,1913489
Germany,5/3/2021,Oxford/AstraZeneca,5984633
Germany,5/3/2021,Pfizer/BioNTech,22829975
Germany,5/4/2021,Johnson&Johnson,12199
Germany,5/4/2021,Moderna,1976957
Germany,5/4/2021,Oxford/AstraZeneca,6134868
Germany,5/4/2021,Pfizer/BioNTech,23456232
Germany,5/5/2021,Johnson&Johnson,16670
Germany,5/5/2021,Moderna,2055876
Germany,5/5/2021,Oxford/AstraZeneca,6347339
Germany,5/5/2021,Pfizer/BioNTech,24307586
Germany,5/6/2021,Johnson&Johnson,21220
Germany,5/6/2021,Moderna,2147990
Germany,5/6/2021,Oxford/AstraZeneca,6548889
Germany,5/6/2021,Pfizer/BioNTech,25000372
Germany,5/7/2021,Johnson&Johnson,25422
Germany,5/7/2021,Moderna,2234655
Germany,5/7/2021,Oxford/AstraZeneca,6761332
Germany,5/7/2021,Pfizer/BioNTech,25588159
Germany,5/8/2021,Johnson&Johnson,27139
Germany,5/8/2021,Moderna,2306428
Germany,5/8/2021,Oxford/AstraZeneca,6845950
Germany,5/8/2021,Pfizer/BioNTech,25855853
Germany,5/9/2021,Johnson&Johnson,28205
Germany,5/9/2021,Moderna,2362985
Germany,5/9/2021,Oxford/AstraZeneca,6880615
Germany,5/9/2021,Pfizer/BioNTech,26049743
Germany,5/10/2021,Johnson&Johnson,31932
Germany,5/10/2021,Moderna,2444773
Germany,5/10/2021,Oxford/AstraZeneca,7011260
Germany,5/10/2021,Pfizer/BioNTech,26422816
Germany,5/11/2021,Johnson&Johnson,35573
Germany,5/11/2021,Moderna,2524709
Germany,5/11/2021,Oxford/AstraZeneca,7187602
Germany,5/11/2021,Pfizer/BioNTech,27248673
Germany,5/12/2021,Johnson&Johnson,41325
Germany,5/12/2021,Moderna,2616358
Germany,5/12/2021,Oxford/AstraZeneca,7412862
Germany,5/12/2021,Pfizer/BioNTech,28341946
Germany,5/13/2021,Johnson&Johnson,43975
Germany,5/13/2021,Moderna,2683089
Germany,5/13/2021,Oxford/AstraZeneca,7457373
Germany,5/13/2021,Pfizer/BioNTech,28657219
Germany,5/14/2021,Johnson&Johnson,51767
Germany,5/14/2021,Moderna,2747961
Germany,5/14/2021,Oxford/AstraZeneca,7595965
Germany,5/14/2021,Pfizer/BioNTech,29202391
Germany,5/15/2021,Johnson&Johnson,56047
Germany,5/15/2021,Moderna,2808341
Germany,5/15/2021,Oxford/AstraZeneca,7652414
Germany,5/15/2021,Pfizer/BioNTech,29481574
Germany,5/16/2021,Johnson&Johnson,60770
Germany,5/16/2021,Moderna,2861067
Germany,5/16/2021,Oxford/AstraZeneca,7677340
Germany,5/16/2021,Pfizer/BioNTech,29681329
Germany,5/17/2021,Johnson&Johnson,70527
Germany,5/17/2021,Moderna,2946710
Germany,5/17/2021,Oxford/AstraZeneca,7798839
Germany,5/17/2021,Pfizer/BioNTech,30019554
Germany,5/18/2021,Johnson&Johnson,78298
Germany,5/18/2021,Moderna,3047784
Germany,5/18/2021,Oxford/AstraZeneca,7972365
Germany,5/18/2021,Pfizer/BioNTech,30609027
Germany,5/19/2021,Johnson&Johnson,90453
Germany,5/19/2021,Moderna,3147873
Germany,5/19/2021,Oxford/AstraZeneca,8153844
Germany,5/19/2021,Pfizer/BioNTech,31413143
Germany,5/20/2021,Johnson&Johnson,101290
Germany,5/20/2021,Moderna,3244308
Germany,5/20/2021,Oxford/AstraZeneca,8310462
Germany,5/20/2021,Pfizer/BioNTech,32096684
Germany,5/21/2021,Johnson&Johnson,113169
Germany,5/21/2021,Moderna,3329987
Germany,5/21/2021,Oxford/AstraZeneca,8467865
Germany,5/21/2021,Pfizer/BioNTech,32692795
Germany,5/22/2021,Johnson&Johnson,127447
Germany,5/22/2021,Moderna,3399496
Germany,5/22/2021,Oxford/AstraZeneca,8551703
Germany,5/22/2021,Pfizer/BioNTech,32999049
Germany,5/23/2021,Johnson&Johnson,136311
Germany,5/23/2021,Moderna,3458883
Germany,5/23/2021,Oxford/AstraZeneca,8575608
Germany,5/23/2021,Pfizer/BioNTech,33191955
Germany,5/24/2021,Johnson&Johnson,144349
Germany,5/24/2021,Moderna,3520409
Germany,5/24/2021,Oxford/AstraZeneca,8596254
Germany,5/24/2021,Pfizer/BioNTech,33427609
Germany,5/25/2021,Johnson&Johnson,169506
Germany,5/25/2021,Moderna,3600157
Germany,5/25/2021,Oxford/AstraZeneca,8700304
Germany,5/25/2021,Pfizer/BioNTech,33874134
Germany,5/26/2021,Johnson&Johnson,247778
Germany,5/26/2021,Moderna,3682506
Germany,5/26/2021,Oxford/AstraZeneca,8834407
Germany,5/26/2021,Pfizer/BioNTech,34759174
Germany,5/27/2021,Johnson&Johnson,328898
Germany,5/27/2021,Moderna,3771435
Germany,5/27/2021,Oxford/AstraZeneca,8966048
Germany,5/27/2021,Pfizer/BioNTech,35498296
Germany,5/28/2021,Johnson&Johnson,412653
Germany,5/28/2021,Moderna,3857583
Germany,5/28/2021,Oxford/AstraZeneca,9096578
Germany,5/28/2021,Pfizer/BioNTech,36101806
Germany,5/29/2021,Johnson&Johnson,440444
Germany,5/29/2021,Moderna,3920173
Germany,5/29/2021,Oxford/AstraZeneca,9154549
Germany,5/29/2021,Pfizer/BioNTech,36363630
Germany,5/30/2021,Johnson&Johnson,451476
Germany,5/30/2021,Moderna,3967185
Germany,5/30/2021,Oxford/AstraZeneca,9182900
Germany,5/30/2021,Pfizer/BioNTech,36560775
Germany,5/31/2021,Johnson&Johnson,493951
Germany,5/31/2021,Moderna,4034613
Germany,5/31/2021,Oxford/AstraZeneca,9252553
Germany,5/31/2021,Pfizer/BioNTech,36927974
Germany,6/1/2021,Johnson&Johnson,578506
Germany,6/1/2021,Moderna,4114416
Germany,6/1/2021,Oxford/AstraZeneca,9343104
Germany,6/1/2021,Pfizer/BioNTech,37661486
Germany,6/2/2021,Johnson&Johnson,683355
Germany,6/2/2021,Moderna,4186990
Germany,6/2/2021,Oxford/AstraZeneca,9425399
Germany,6/2/2021,Pfizer/BioNTech,38650483
Germany,6/3/2021,Johnson&Johnson,736557
Germany,6/3/2021,Moderna,4251298
Germany,6/3/2021,Oxford/AstraZeneca,9475648
Germany,6/3/2021,Pfizer/BioNTech,39125506
Germany,6/4/2021,Johnson&Johnson,813773
Germany,6/4/2021,Moderna,4322541
Germany,6/4/2021,Oxford/AstraZeneca,9552567
Germany,6/4/2021,Pfizer/BioNTech,39711215
Germany,6/5/2021,Johnson&Johnson,844384
Germany,6/5/2021,Moderna,4389515
Germany,6/5/2021,Oxford/AstraZeneca,9596750
Germany,6/5/2021,Pfizer/BioNTech,39982310
Germany,6/6/2021,Johnson&Johnson,862625
Germany,6/6/2021,Moderna,4430511
Germany,6/6/2021,Oxford/AstraZeneca,9623999
Germany,6/6/2021,Pfizer/BioNTech,40188031
Germany,6/7/2021,Johnson&Johnson,917107
Germany,6/7/2021,Moderna,4515577
Germany,6/7/2021,Oxford/AstraZeneca,9696553
Germany,6/7/2021,Pfizer/BioNTech,40590196
Germany,6/8/2021,Johnson&Johnson,985455
Germany,6/8/2021,Moderna,4590952
Germany,6/8/2021,Oxford/AstraZeneca,9759520
Germany,6/8/2021,Pfizer/BioNTech,41437428
Germany,6/9/2021,Johnson&Johnson,1081233
Germany,6/9/2021,Moderna,4678192
Germany,6/9/2021,Oxford/AstraZeneca,9823563
Germany,6/9/2021,Pfizer/BioNTech,42614399
Germany,6/10/2021,Johnson&Johnson,1169678
Germany,6/10/2021,Moderna,4767999
Germany,6/10/2021,Oxford/AstraZeneca,9879375
Germany,6/10/2021,Pfizer/BioNTech,43572374
Germany,6/11/2021,Johnson&Johnson,1266453
Germany,6/11/2021,Moderna,4857041
Germany,6/11/2021,Oxford/AstraZeneca,9948528
Germany,6/11/2021,Pfizer/BioNTech,44380567
Germany,6/12/2021,Johnson&Johnson,1301691
Germany,6/12/2021,Moderna,4928957
Germany,6/12/2021,Oxford/AstraZeneca,9991964
Germany,6/12/2021,Pfizer/BioNTech,44665605
Germany,6/13/2021,Johnson&Johnson,1315479
Germany,6/13/2021,Moderna,4992459
Germany,6/13/2021,Oxford/AstraZeneca,10017777
Germany,6/13/2021,Pfizer/BioNTech,44845465
Germany,6/14/2021,Johnson&Johnson,1370716
Germany,6/14/2021,Moderna,5093803
Germany,6/14/2021,Oxford/AstraZeneca,10085211
Germany,6/14/2021,Pfizer/BioNTech,45276921
Germany,6/15/2021,Johnson&Johnson,1429800
Germany,6/15/2021,Moderna,5198453
Germany,6/15/2021,Oxford/AstraZeneca,10169827
Germany,6/15/2021,Pfizer/BioNTech,46075549
Germany,6/16/2021,Johnson&Johnson,1506087
Germany,6/16/2021,Moderna,5304986
Germany,6/16/2021,Oxford/AstraZeneca,10266513
Germany,6/16/2021,Pfizer/BioNTech,47178188
Germany,6/17/2021,Johnson&Johnson,1574358
Germany,6/17/2021,Moderna,5408574
Germany,6/17/2021,Oxford/AstraZeneca,10358720
Germany,6/17/2021,Pfizer/BioNTech,48061771
Germany,6/18/2021,Johnson&Johnson,1643202
Germany,6/18/2021,Moderna,5503018
Germany,6/18/2021,Oxford/AstraZeneca,10455056
Germany,6/18/2021,Pfizer/BioNTech,48794644
Germany,6/19/2021,Johnson&Johnson,1664344
Germany,6/19/2021,Moderna,5585094
Germany,6/19/2021,Oxford/AstraZeneca,10506006
Germany,6/19/2021,Pfizer/BioNTech,49067483
Germany,6/20/2021,Johnson&Johnson,1677157
Germany,6/20/2021,Moderna,5656688
Germany,6/20/2021,Oxford/AstraZeneca,10537853
Germany,6/20/2021,Pfizer/BioNTech,49246288
Germany,6/21/2021,Johnson&Johnson,1713506
Germany,6/21/2021,Moderna,5754366
Germany,6/21/2021,Oxford/AstraZeneca,10623330
Germany,6/21/2021,Pfizer/BioNTech,49657629
Germany,6/22/2021,Johnson&Johnson,1747655
Germany,6/22/2021,Moderna,5850402
Germany,6/22/2021,Oxford/AstraZeneca,10725888
Germany,6/22/2021,Pfizer/BioNTech,50501188
Germany,6/23/2021,Johnson&Johnson,1782187
Germany,6/23/2021,Moderna,5946433
Germany,6/23/2021,Oxford/AstraZeneca,10841510
Germany,6/23/2021,Pfizer/BioNTech,51589389
Germany,6/24/2021,Johnson&Johnson,1822486
Germany,6/24/2021,Moderna,6033774
Germany,6/24/2021,Oxford/AstraZeneca,10952229
Germany,6/24/2021,Pfizer/BioNTech,52385751
Germany,6/25/2021,Johnson&Johnson,1862636
Germany,6/25/2021,Moderna,6110365
Germany,6/25/2021,Oxford/AstraZeneca,11062139
Germany,6/25/2021,Pfizer/BioNTech,53079255
Germany,6/26/2021,Johnson&Johnson,1875897
Germany,6/26/2021,Moderna,6179435
Germany,6/26/2021,Oxford/AstraZeneca,11134689
Germany,6/26/2021,Pfizer/BioNTech,53334010
Germany,6/27/2021,Johnson&Johnson,1880018
Germany,6/27/2021,Moderna,6237549
Germany,6/27/2021,Oxford/AstraZeneca,11191444
Germany,6/27/2021,Pfizer/BioNTech,53506896
Germany,6/28/2021,Johnson&Johnson,1904405
Germany,6/28/2021,Moderna,6327591
Germany,6/28/2021,Oxford/AstraZeneca,11305210
Germany,6/28/2021,Pfizer/BioNTech,53907622
Germany,6/29/2021,Johnson&Johnson,1926843
Germany,6/29/2021,Moderna,6420551
Germany,6/29/2021,Oxford/AstraZeneca,11437943
Germany,6/29/2021,Pfizer/BioNTech,54591926
Germany,6/30/2021,Johnson&Johnson,1949553
Germany,6/30/2021,Moderna,6514700
Germany,6/30/2021,Oxford/AstraZeneca,11574561
Germany,6/30/2021,Pfizer/BioNTech,55360873
Germany,7/1/2021,Johnson&Johnson,1972207
Germany,7/1/2021,Moderna,6598229
Germany,7/1/2021,Oxford/AstraZeneca,11707368
Germany,7/1/2021,Pfizer/BioNTech,56104213
Germany,7/2/2021,Johnson&Johnson,1994382
Germany,7/2/2021,Moderna,6693220
Germany,7/2/2021,Oxford/AstraZeneca,11786596
Germany,7/2/2021,Pfizer/BioNTech,56754626
Germany,7/3/2021,Johnson&Johnson,2009592
Germany,7/3/2021,Moderna,6772561
Germany,7/3/2021,Oxford/AstraZeneca,11813741
Germany,7/3/2021,Pfizer/BioNTech,57010440
Germany,7/4/2021,Johnson&Johnson,2018509
Germany,7/4/2021,Moderna,6840718
Germany,7/4/2021,Oxford/AstraZeneca,11828272
Germany,7/4/2021,Pfizer/BioNTech,57192165
Germany,7/5/2021,Johnson&Johnson,2033361
Germany,7/5/2021,Moderna,6935254
Germany,7/5/2021,Oxford/AstraZeneca,11867826
Germany,7/5/2021,Pfizer/BioNTech,57579806
Germany,7/6/2021,Johnson&Johnson,2049056
Germany,7/6/2021,Moderna,7034567
Germany,7/6/2021,Oxford/AstraZeneca,11913144
Germany,7/6/2021,Pfizer/BioNTech,58197982
Germany,7/7/2021,Johnson&Johnson,2068108
Germany,7/7/2021,Moderna,7130544
Germany,7/7/2021,Oxford/AstraZeneca,11964456
Germany,7/7/2021,Pfizer/BioNTech,59027941
Germany,7/8/2021,Johnson&Johnson,2087540
Germany,7/8/2021,Moderna,7232066
Germany,7/8/2021,Oxford/AstraZeneca,12007088
Germany,7/8/2021,Pfizer/BioNTech,59712504
Germany,7/9/2021,Johnson&Johnson,2108191
Germany,7/9/2021,Moderna,7330995
Germany,7/9/2021,Oxford/AstraZeneca,12050292
Germany,7/9/2021,Pfizer/BioNTech,60307688
Germany,7/10/2021,Johnson&Johnson,2117971
Germany,7/10/2021,Moderna,7415196
Germany,7/10/2021,Oxford/AstraZeneca,12071409
Germany,7/10/2021,Pfizer/BioNTech,60536053
Germany,7/11/2021,Johnson&Johnson,2126264
Germany,7/11/2021,Moderna,7478747
Germany,7/11/2021,Oxford/AstraZeneca,12081698
Germany,7/11/2021,Pfizer/BioNTech,60681836
Germany,7/12/2021,Johnson&Johnson,2140369
Germany,7/12/2021,Moderna,7558243
Germany,7/12/2021,Oxford/AstraZeneca,12105731
Germany,7/12/2021,Pfizer/BioNTech,61032270
Germany,7/13/2021,Johnson&Johnson,2160292
Germany,7/13/2021,Moderna,7636130
Germany,7/13/2021,Oxford/AstraZeneca,12140344
Germany,7/13/2021,Pfizer/BioNTech,61661290
Germany,7/14/2021,Johnson&Johnson,2183216
Germany,7/14/2021,Moderna,7708221
Germany,7/14/2021,Oxford/AstraZeneca,12187486
Germany,7/14/2021,Pfizer/BioNTech,62494177
Germany,7/15/2021,Johnson&Johnson,2205792
Germany,7/15/2021,Moderna,7779373
Germany,7/15/2021,Oxford/AstraZeneca,12226051
Germany,7/15/2021,Pfizer/BioNTech,63128604
Germany,7/16/2021,Johnson&Johnson,2228000
Germany,7/16/2021,Moderna,7843850
Germany,7/16/2021,Oxford/AstraZeneca,12258014
Germany,7/16/2021,Pfizer/BioNTech,63669895
Germany,7/17/2021,Johnson&Johnson,2246577
Germany,7/17/2021,Moderna,7907073
Germany,7/17/2021,Oxford/AstraZeneca,12273667
Germany,7/17/2021,Pfizer/BioNTech,63844105
Germany,7/18/2021,Johnson&Johnson,2257824
Germany,7/18/2021,Moderna,7948639
Germany,7/18/2021,Oxford/AstraZeneca,12285123
Germany,7/18/2021,Pfizer/BioNTech,63979799
Germany,7/19/2021,Johnson&Johnson,2272064
Germany,7/19/2021,Moderna,7999169
Germany,7/19/2021,Oxford/AstraZeneca,12304906
Germany,7/19/2021,Pfizer/BioNTech,64276050
Germany,7/20/2021,Johnson&Johnson,2286379
Germany,7/20/2021,Moderna,8047575
Germany,7/20/2021,Oxford/AstraZeneca,12326836
Germany,7/20/2021,Pfizer/BioNTech,64797160
Germany,7/21/2021,Johnson&Johnson,2300260
Germany,7/21/2021,Moderna,8093634
Germany,7/21/2021,Oxford/AstraZeneca,12349622
Germany,7/21/2021,Pfizer/BioNTech,65468476
Germany,7/22/2021,Johnson&Johnson,2313838
Germany,7/22/2021,Moderna,8137071
Germany,7/22/2021,Oxford/AstraZeneca,12368468
Germany,7/22/2021,Pfizer/BioNTech,66012931
Germany,7/23/2021,Johnson&Johnson,2332020
Germany,7/23/2021,Moderna,8179367
Germany,7/23/2021,Oxford/AstraZeneca,12387021
Germany,7/23/2021,Pfizer/BioNTech,66502546
Germany,7/24/2021,Johnson&Johnson,2343862
Germany,7/24/2021,Moderna,8216833
Germany,7/24/2021,Oxford/AstraZeneca,12394763
Germany,7/24/2021,Pfizer/BioNTech,66656005
Germany,7/25/2021,Johnson&Johnson,2349612
Germany,7/25/2021,Moderna,8248278
Germany,7/25/2021,Oxford/AstraZeneca,12398039
Germany,7/25/2021,Pfizer/BioNTech,66739805
Germany,7/26/2021,Johnson&Johnson,2360687
Germany,7/26/2021,Moderna,8288063
Germany,7/26/2021,Oxford/AstraZeneca,12410370
Germany,7/26/2021,Pfizer/BioNTech,67013500
Germany,7/27/2021,Johnson&Johnson,2373555
Germany,7/27/2021,Moderna,8330206
Germany,7/27/2021,Oxford/AstraZeneca,12430252
Germany,7/27/2021,Pfizer/BioNTech,67487591
Germany,7/28/2021,Johnson&Johnson,2387281
Germany,7/28/2021,Moderna,8377078
Germany,7/28/2021,Oxford/AstraZeneca,12453588
Germany,7/28/2021,Pfizer/BioNTech,68088893
Germany,7/29/2021,Johnson&Johnson,2401977
Germany,7/29/2021,Moderna,8420536
Germany,7/29/2021,Oxford/AstraZeneca,12473373
Germany,7/29/2021,Pfizer/BioNTech,68585753
Germany,7/30/2021,Johnson&Johnson,2418072
Germany,7/30/2021,Moderna,8465791
Germany,7/30/2021,Oxford/AstraZeneca,12490536
Germany,7/30/2021,Pfizer/BioNTech,69002104
Germany,7/31/2021,Johnson&Johnson,2430556
Germany,7/31/2021,Moderna,8501644
Germany,7/31/2021,Oxford/AstraZeneca,12496554
Germany,7/31/2021,Pfizer/BioNTech,69142262
Germany,8/1/2021,Johnson&Johnson,2436429
Germany,8/1/2021,Moderna,8526710
Germany,8/1/2021,Oxford/AstraZeneca,12498870
Germany,8/1/2021,Pfizer/BioNTech,69225622
Germany,8/2/2021,Johnson&Johnson,2447680
Germany,8/2/2021,Moderna,8560098
Germany,8/2/2021,Oxford/AstraZeneca,12507995
Germany,8/2/2021,Pfizer/BioNTech,69463341
Germany,8/3/2021,Johnson&Johnson,2460858
Germany,8/3/2021,Moderna,8598424
Germany,8/3/2021,Oxford/AstraZeneca,12519930
Germany,8/3/2021,Pfizer/BioNTech,69858597
Germany,8/4/2021,Johnson&Johnson,2473640
Germany,8/4/2021,Moderna,8634715
Germany,8/4/2021,Oxford/AstraZeneca,12531188
Germany,8/4/2021,Pfizer/BioNTech,70365873
Germany,8/5/2021,Johnson&Johnson,2487985
Germany,8/5/2021,Moderna,8674391
Germany,8/5/2021,Oxford/AstraZeneca,12539129
Germany,8/5/2021,Pfizer/BioNTech,70817624
Germany,8/6/2021,Johnson&Johnson,2503144
Germany,8/6/2021,Moderna,8710210
Germany,8/6/2021,Oxford/AstraZeneca,12546430
Germany,8/6/2021,Pfizer/BioNTech,71196963
Germany,8/7/2021,Johnson&Johnson,2516048
Germany,8/7/2021,Moderna,8742039
Germany,8/7/2021,Oxford/AstraZeneca,12547973
Germany,8/7/2021,Pfizer/BioNTech,71334449
Germany,8/8/2021,Johnson&Johnson,2520038
Germany,8/8/2021,Moderna,8763790
Germany,8/8/2021,Oxford/AstraZeneca,12548893
Germany,8/8/2021,Pfizer/BioNTech,71423589
Germany,8/9/2021,Johnson&Johnson,2528996
Germany,8/9/2021,Moderna,8805231
Germany,8/9/2021,Oxford/AstraZeneca,12554220
Germany,8/9/2021,Pfizer/BioNTech,71659917
Germany,8/10/2021,Johnson&Johnson,2540239
Germany,8/10/2021,Moderna,8847851
Germany,8/10/2021,Oxford/AstraZeneca,12562084
Germany,8/10/2021,Pfizer/BioNTech,72024152
Germany,8/11/2021,Johnson&Johnson,2555915
Germany,8/11/2021,Moderna,8894834
Germany,8/11/2021,Oxford/AstraZeneca,12571774
Germany,8/11/2021,Pfizer/BioNTech,72489376
Germany,8/12/2021,Johnson&Johnson,2574490
Germany,8/12/2021,Moderna,8933091
Germany,8/12/2021,Oxford/AstraZeneca,12578753
Germany,8/12/2021,Pfizer/BioNTech,72892583
Germany,8/13/2021,Johnson&Johnson,2593805
Germany,8/13/2021,Moderna,8974174
Germany,8/13/2021,Oxford/AstraZeneca,12585274
Germany,8/13/2021,Pfizer/BioNTech,73244687
Germany,8/14/2021,Johnson&Johnson,2608953
Germany,8/14/2021,Moderna,9005886
Germany,8/14/2021,Oxford/AstraZeneca,12586645
Germany,8/14/2021,Pfizer/BioNTech,73389125
Germany,8/15/2021,Johnson&Johnson,2616358
Germany,8/15/2021,Moderna,9026972
Germany,8/15/2021,Oxford/AstraZeneca,12587330
Germany,8/15/2021,Pfizer/BioNTech,73477505
Germany,8/16/2021,Johnson&Johnson,2629896
Germany,8/16/2021,Moderna,9059978
Germany,8/16/2021,Oxford/AstraZeneca,12590164
Germany,8/16/2021,Pfizer/BioNTech,73690444
Germany,8/17/2021,Johnson&Johnson,2644703
Germany,8/17/2021,Moderna,9089262
Germany,8/17/2021,Oxford/AstraZeneca,12595910
Germany,8/17/2021,Pfizer/BioNTech,73996215
Germany,8/18/2021,Johnson&Johnson,2661869
